Country,Year,UnemploymentRate
Afghanistan,2016,8.84
Albania,2016,15.22
Algeria,2016,10.2
Andorra,2016,Undefined
Angola,2016,7.72
Antarctica,2016,Undefined
Antigua and Barbuda,2016,Undefined
Argentina,2016,8.7
Armenia,2016,18.04
Australia,2016,5.72
Austria,2016,6.01
Azerbaijan,2016,5
Bahrain,2016,1.22
Bangladesh,2016,4.35
Barbados,2016,9.72
Belarus,2016,0.49
Belgium,2016,7.83
Belize,2016,11.61
Benin,2016,2.54
Bhutan,2016,2.44
Bolivia,2016,3.06
Bosnia and Herzegovina,2016,25.06
Botswana,2016,17.12
Brazil,2016,11.61
Brunei,2016,6.93
Bulgaria,2016,7.57
Burkina Faso,2016,6.39
Burundi,2016,1.59
Cambodia,2016,0.2
Cameroon,2016,4.26
Canada,2016,7
Cape Verde,2016,10.32
Central African Republic,2016,6.16
Chad,2016,5.78
Chile,2016,6.74
China,2016,4.65
Colombia,2016,8.35
Comoros,2016,4.35
Costa Rica,2016,8.98
Croatia,2016,13.1
Cuba,2016,2.49
Cyprus,2016,12.95
Czech Republic,2016,3.95
Democratic Republic of the Congo,2016,3.69
Denmark,2016,6.18
Djibouti,2016,5.84
Dominica,2016,Undefined
Dominican Republic,2016,5.49
East Timor,2016,Undefined
Ecuador,2016,4.6
Egypt,2016,12.41
El Salvador,2016,4.42
Equatorial Guinea,2016,6.19
Eritrea,2016,6.45
Estonia,2016,6.76
Ethiopia,2016,5.09
Federated States of Micronesia,2016,Undefined
Fiji,2016,6.24
Finland,2016,8.82
France,2016,10.06
Gabon,2016,19.89
Gambia,2016,9.43
Georgia,2016,11.76
Germany,2016,4.12
Ghana,2016,2.26
Greece,2016,23.54
Grenada,2016,Undefined
Guatemala,2016,2.83
Guinea,2016,4.51
Guinea Bissau,2016,6.14
Guyana,2016,11.76
Haiti,2016,14
Honduras,2016,4.67
Hong Kong S.A.R. of China,2016,3.35
Hungary,2016,5.11
Iceland,2016,2.98
India,2016,3.51
Indonesia,2016,4.12
Iran,2016,12.43
Iraq,2016,7.91
Ireland,2016,7.89
Israel,2016,4.8
Italy,2016,11.69
Ivory Coast,2016,2.6
Jamaica,2016,13.19
Japan,2016,3.13
Jordan,2016,15.27
Kashmir,2016,Undefined
Kazakhstan,2016,4.96
Kenya,2016,11.52
Kosovo,2016,Undefined
Kuwait,2016,2.23
Kyrgyzstan,2016,7.21
Laos,2016,0.66
Latvia,2016,9.64
Lebanon,2016,6.58
Lesotho,2016,27.78
Liberia,2016,2.34
Libya,2016,18.42
Liechtenstein,2016,Undefined
Lithuania,2016,7.86
Luxembourg,2016,6.29
Macedonia,2016,23.72
Madagascar,2016,1.8
Malawi,2016,5.86
Malaysia,2016,3.44
Maldives,2016,5.03
Mali,2016,7.81
Malta,2016,4.7
Marshall Islands,2016,Undefined
Mauritania,2016,9.84
Mauritius,2016,7.3
Mexico,2016,3.88
Moldova,2016,4.18
Monaco,2016,Undefined
Mongolia,2016,7.24
Montenegro,2016,17.7
Morocco,2016,9.4
Mozambique,2016,25.15
Myanmar,2016,0.78
Namibia,2016,23.35
Nauru,2016,Undefined
Nepal,2016,3.06
Netherlands,2016,6.01
New Zealand,2016,5.11
Nicaragua,2016,4.45
Niger,2016,0.34
Nigeria,2016,7.06
North Korea,2016,4.72
Northern Cyprus,2016,Undefined
Norway,2016,4.68
Oman,2016,3.27
Pakistan,2016,3.84
Palau,2016,Undefined
Palestine,2016,26.89
Panama,2016,4.35
Papua New Guinea,2016,2.64
Paraguay,2016,5.25
Peru,2016,3.53
Philippines,2016,2.71
Poland,2016,6.19
Portugal,2016,11.07
Qatar,2016,0.14
Republic of the Congo,2016,10.42
Romania,2016,5.9
Russia,2016,5.54
Rwanda,2016,1.23
Saint Kitts and Nevis,2016,Undefined
Saint Lucia,2016,21.26
Saint Vincent and the Grenadines,2016,18.21
Samoa,2016,8.49
San Marino,2016,Undefined
Sao Tome and Principe,2016,13.42
Saudi Arabia,2016,5.65
Senegal,2016,4.85
Republic of Serbia,2016,15.26
Seychelles,2016,Undefined
Sierra Leone,2016,4.6
Singapore,2016,1.8
Slovakia,2016,9.67
Slovenia,2016,8
Solomon Islands,2016,2.04
Somalia,2016,6.02
Somaliland,2016,Undefined
South Africa,2016,26.55
South Korea,2016,3.71
South Sudan,2016,Undefined
Spain,2016,19.63
Sri Lanka,2016,4.37
Sudan,2016,12.73
Suriname,2016,8.18
Swaziland,2016,26.35
Sweden,2016,6.99
Switzerland,2016,4.92
Syria,2016,14.78
Taiwan Province of China,2016,Undefined
Tajikistan,2016,10.3
United Republic of Tanzania,2016,2.17
Thailand,2016,0.94
The Bahamas,2016,12.7
Togo,2016,1.84
Tonga,2016,1.1
Trinidad and Tobago,2016,4.37
Tunisia,2016,15.51
Turkey,2016,10.84
Turkmenistan,2016,3.48
Uganda,2016,2.01
Ukraine,2016,9.35
United Arab Emirates,2016,1.64
United Kingdom,2016,4.81
United States of America,2016,4.87
Uruguay,2016,7.84
Uzbekistan,2016,7.51
Vanuatu,2016,5.27
Vatican,2016,Undefined
Venezuela,2016,7.15
Vietnam,2016,2.1
Western Sahara,2016,Undefined
Yemen,2016,13.73
Zambia,2016,7.78
Zimbabwe,2016,5.05
Kiribati,2016,Undefined
