Country,Year,LifeLadder,Log_GDP_per_capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality
Afghanistan,2015,3.982854605,7.500538826,0.528597236,53.20000076,0.388927579,0.089090675,0.880638301,0.553553164,0.339276046,0.260557145,-1.84436357,-1.29159379
Albania,2015,4.606650829,9.302960396,0.639356136,67.80000305,0.703850687,-0.084411353,0.884793043,0.688370049,0.350426674,0.506978393,0.251629293,-0.152543828,,,,,,,,,,,,
Algeria,2015,Undefined,,,,,,,,,,,,,,,,
Angola,2015,Undefined,,,,,,,,,,,
Argentina,2015,6.69713068,9.858328819,0.926492274,68.19999695,0.881223679,-0.170244098,0.850906193,0.858544469,0.305354923,0.378169239,0.213269234,-0.576050639
Armenia,2015,4.34831953,9.011393547,0.722551048,66,0.551026642,-0.189388379,0.901462197,0.594142795,0.43794772,0.170927867,-0.394301742,-0.210141867
Australia,2015,7.309060574,10.6901989,0.95186156,72.69999695,0.921871006,0.323258132,0.356554389,0.790050209,0.209636971,0.478556842,1.120239973,1.765201688
Austria,2015,7.07644701,10.69885254,0.928110301,72.09999847,0.900305152,0.09687189,0.55747962,0.798262954,0.164469033,0.454789877,1.263259649,1.564293861
Azerbaijan,2015,5.146774769,9.723095894,0.785702765,64.59999847,0.764289498,-0.218101621,0.615552545,0.60656935,0.206114277,0.788487196,-1.140934467,-0.528914392
Bahrain,2015,6.00737524,10.69027233,0.852550745,67.69999695,0.84952116,0.10379605,,0.715542972,0.302972108,,-1.193268418,0.485886216
Bangladesh,2015,4.633473873,8.049608231,0.601468265,62.79999924,0.814796269,-0.063412555,0.720600903,0.634507656,0.225753754,0.760611534,-0.862021804,-0.795559049
Belarus,2015,5.718907833,9.75438118,0.924072623,65.19999695,0.622753441,-0.099120751,0.668678164,0.583726883,0.184309959,0.520024061,-0.677491605,-0.650083005
Belgium,2015,6.904219151,10.63845348,0.885208845,71.40000153,0.869474947,0.059581742,0.46878463,0.80517751,0.239958704,0.459024221,0.987220764,1.440813541
Benin,2015,3.624664307,7.594452858,0.434388518,53.09999847,0.733383596,-0.003976707,0.850098193,0.592222333,0.373396546,0.514306188,0.142651409,-0.570187569
Bhutan,2015,5.082128525,8.954587936,0.847574413,60.20000076,0.83010155,0.28663519,0.633955777,0.80964148,0.311589301,0.946393013,0.469944537,0.309430838
Bolivia,2015,5.834329128,8.784395218,0.828705788,62.70000076,0.88362509,-0.024297828,0.862373948,0.785768449,0.392902851,0.487208784,-0.136583105,-0.843797743
Bosnia and Herzegovina,2015,5.117177963,9.299491882,0.655723631,66.90000153,0.630698025,-0.054061137,0.959853649,0.533987403,0.28623414,0.194221586,-0.250270844,-0.354031891
Botswana,2015,3.761964798,9.63931179,0.815656066,56.79999924,0.857168913,-0.121966846,0.860292971,0.746204019,0.261428148,0.81921792,0.739141107,0.595356345
Brazil,2015,6.546896935,9.595779419,0.906693101,65.80000305,0.798935294,-0.025475523,0.771339059,0.755194008,0.324699104,0.198534787,0.063678071,-0.230050266
Bulgaria,2015,4.865401268,9.740979195,0.907517016,66.19999695,0.636817813,-0.201748475,0.941279948,0.64279449,0.214223832,0.249677315,0.22492975,0.102736883
Burkina Faso,2015,4.418930054,7.375465393,0.705393493,52.40000153,0.659102738,0.012528297,0.692723989,0.579355955,0.359287649,0.668077111,-0.362033367,-0.442156285
Burundi,2015,Undefined,,
Belize,2015,Undefined,,,
Cambodia,2015,4.162164688,8.098932266,0.728610277,60.40000153,0.956319809,0.208363369,0.825130224,0.812529683,0.399102688,0.732658446,-0.530307293,-0.830225825
