Country,Year,LifeLadder,Log_GDP_per_capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality
Cambodia,2017,4.585842133,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,-0.493880957,-0.876292229
Cameroon,2017,5.07405138,8.121161461,0.69459641,51.90000153,0.766945004,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,-1.06689775,-0.962742329
Canada,2017,7.414868355,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,0.862773478,0.21798116,0.652735949,1.295283794,1.866527677
Central African Republic,2017,3.475862026,6.494116783,0.319589138,45.20000076,0.645252347,0.093754359,0.889566004,0.613865197,0.599335492,0.650284886,-1.523121834,-1.538732529
Chad,2017,4.558937073,7.477691174,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,-1.356479883,-1.349586964
Chile,2017,6.320119381,10.03306866,0.879840791,69.80000305,0.790116489,-0.030261263,0.835987508,0.83847481,0.291042089,0.268283308,0.688375235,1.059408069
China,2017,5.099061489,9.636177063,0.772033215,69,0.877617598,-0.191224813,,0.821097255,0.214004755,,-0.87781024,-0.064554513
Colombia,2017,6.157341957,9.492126465,0.909249961,67.40000153,0.837554634,-0.162942991,0.87501812,0.836926997,0.299308956,0.221882597,-0.33744511,-0.113991968
Comoros,2017,Undefined,,,
Cuba,2017,Undefined,,,
Republic of the Congo,2017,4.883991241,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,0.598951638,0.381640553,0.469826549,-0.824424744,-1.239475012
Democratic Republic of the Congo,2017,4.311033249,6.694726944,0.669688404,52.90000153,0.704239547,0.085066363,0.809181869,0.550525904,0.404262066,0.4784123,-1.872269154,-1.551753879
Costa Rica,2017,7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.742350757,0.874395847,0.275440067,0.407448441,0.815186501,0.404245347
Croatia,2017,5.343165874,10.02878857,0.770309687,69.59999847,0.715822279,-0.105906412,0.89155972,0.655305028,0.316488236,0.211000666,0.628294408,0.380520016
Cyprus,2017,6.062051296,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.851206422,0.784188449,0.300516605,0.312653422,0.827816248,0.904508114
Czech Republic,2017,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.226649791,0.343870819,0.99339664,0.985034347
Denmark,2017,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.823667407,0.205775306,0.572353303,1.190443397,1.868862629
Djibouti,2017,Undefined,,,,,,,,,,,
Dominican Republic,2017,5.605202675,9.588835716,0.894368112,65.5,0.855359018,-0.123324633,0.760489643,0.738943636,0.274745524,0.459901333,0.158870548,-0.397110552
Ecuador,2017,5.839518547,9.266903877,0.848941743,68.19999695,0.879128158,-0.170977935,0.733588755,0.829141974,0.314343482,0.640512884,-0.137001991,-0.655896366
Egypt,2017,3.929344177,9.263900757,0.63822639,61.40000153,0.592504799,-0.159880474,,0.539322555,0.414493799,,-1.332292676,-0.63917017
El Salvador,2017,6.339318275,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,0.848850608,0.268448353,0.270235062,-0.046964772,-0.470085859
Estonia,2017,5.938395977,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,0.805217981,0.160164103,0.405946255,0.93688798,1.320733786
Ethiopia,2017,4.180315495,7.455834389,0.73353976,58,0.717101216,0.007518843,0.75689894,0.608514786,0.304436177,0.768354297,-1.564677238,-0.678986609
Finland,2017,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.192412779,0.787137091,0.176065788,0.59753859,1.311007023,1.999899864
France,2017,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,0.67997849,1.301757574
Gabon,2017,4.782382965,9.714891434,0.806941152,59.20000076,0.652359545,-0.247073993,0.868305504,0.634047151,0.446124285,0.286989242,-0.571620047,-0.803622365
Gambia,2017,4.117938995,7.353572845,0.697001517,54.70000076,0.812325835,0.126379773,0.571615577,0.838287175,0.27724719,0.796493292,-0.427905083,-0.552332282
Georgia,2017,4.45077467,9.18451786,0.590495169,64.69999695,0.820908785,-0.230505854,0.589631975,0.581127703,0.209639609,0.296396226,-0.054174274,0.674269736
Germany,2017,7.074324608,10.71949959,0.892166078,71.90000153,0.840727866,0.141375408,0.414021194,0.736565709,0.196434811,0.622935653,0.982752085,1.737967253
Ghana,2017,5.481310844,8.349396706,0.669111073,56.79999924,0.783046365,0.082861453,0.838609993,0.702511728,0.247518942,0.670288563,0.339194328,-0.086163089
Greece,2017,5.14824152,10.10945988,0.752899528,72.19999695,0.438300014,-0.291227311,0.87223947,0.60293901,0.332830757,0.139880896,0.291475028,0.12445531
Guatemala,2017,6.325118542,8.912446976,0.826492071,64.5,0.914521694,-0.059932403,0.799747884,0.845865786,0.308086157,0.458623856,-0.427182585,-0.673654079
Guinea,2017,4.873722553,7.600365162,0.634025574,53.29999924,0.738212824,0.046024639,0.750026226,0.704477131,0.422460884,0.639980793,-0.673567533,-1.029090166
Guyana,2017,Undefined,,,,,,,,,,,
