Country,Year,LifeLadder,Log_GDP_per_capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality
Afghanistan,2016,4.220168591,7.497038364,0.559071779,53,0.522566199,0.051364917,0.793245554,0.564952672,0.348332286,0.324989557,-1.855426311,-1.392712831
Albania,2016,4.511100769,9.337532043,0.638411462,68.09999847,0.72981894,-0.020687405,0.901070774,0.675243735,0.321705997,0.400909811,0.257291853,-0.134950414
Algeria,2016,5.340853691,9.541166306,0.748588264,65.5,,,,0.66051048,0.377111971,,-0.976651907,-0.815911233
Angola,2016,Undefined,,,,,,,,,,,
Argentina,2016,6.427221298,9.830087662,0.882819116,68.40000153,0.847702205,-0.188303813,0.850924492,0.841906726,0.311646461,0.419561833,0.348582,-0.243653059
Armenia,2016,4.325471878,9.010698318,0.709218323,66.30000305,0.610986948,-0.157248631,0.921421051,0.593600273,0.437227815,0.184713036,-0.620787561,-0.147838444
Australia,2016,7.250080109,10.7030983,0.942334235,73,0.922315717,0.229792744,0.398545116,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803
Austria,2016,7.048071861,10.70244312,0.926318586,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.197423846,0.432638228,1.12349689,1.579037547
Azerbaijan,2016,5.303894997,9.680426598,0.777271032,64.90000153,0.712573171,-0.22437793,0.606770813,0.597593486,0.191117197,0.734052122,-1.183456182,-0.449871927
Bahrain,2016,6.169673443,10.68379784,0.862700105,68.09999847,0.888691068,0.080128744,,0.787187219,0.283466339,,-1.082750559,0.342247546
Bangladesh,2016,4.5561409,8.107524872,0.649116933,63.29999924,0.874700487,-0.083881758,0.687853634,0.559939086,0.235022455,0.845429063,-0.923605621,-0.750216246
Belarus,2016,5.177899361,9.727537155,0.926551104,65.5,0.658228815,-0.133187562,0.664055169,0.553870201,0.182106122,0.452669024,-0.598577619,-0.599957705
Belgium,2016,6.948936462,10.64741421,0.928964078,71.59999847,0.865759015,-0.058440432,0.4966591,0.764590085,0.259653389,0.419177502,0.909132481,1.424215317
Benin,2016,4.007357597,7.605700016,0.492815852,53.5,0.779795229,-0.042874601,0.837715745,0.608236969,0.455767602,0.63744539,0.206786573,-0.554827392
Bhutan,2016,Undefined,,,,,,,,,,,
Belize,2016,Undefined,,,
Bolivia,2016,5.769723415,8.811049461,0.795958757,63,0.881748736,-0.041593142,0.852592945,0.783008873,0.376412243,0.40174228,-0.142896414,-0.855461538
Bosnia and Herzegovina,2016,5.180865288,9.335877419,0.807705104,67.19999695,0.633453727,0.134780556,0.957311988,0.640764356,0.304080278,0.212188497,-0.265015751,-0.308552921
Botswana,2016,3.498936653,9.663145065,0.768302798,57.5,0.851694882,-0.258511871,0.729171813,0.68566674,0.251836598,0.803130805,0.692296803,0.626120031
Brazil,2016,6.374817371,9.552306175,0.912455142,66,0.806571543,-0.10995803,0.781092763,0.763112426,0.30208382,0.264140248,0.036669046,-0.22936672
Bulgaria,2016,4.837560654,9.786646843,0.92603606,66.40000153,0.700265527,-0.172343537,0.935988188,0.62185514,0.171699852,0.221241772,0.239210635,0.181327164
Burkina Faso,2016,4.205634594,7.403866291,0.764401138,52.90000153,0.644681513,0.00834989,0.720542431,0.616066873,0.337300181,0.663711369,-0.426732689,-0.385751069
Burundi,2016,Undefined,,
Cambodia,2016,4.461259365,8.150504112,0.745901227,60.79999924,0.957821488,0.074233428,0.840416849,0.838551998,0.398200303,0.739886224,-0.447925985,-0.873313308
Cameroon,2016,4.816232204,8.115765572,0.659299791,51.09999847,0.71250701,-0.006847957,0.87945056,0.661523461,0.367093384,0.621221066,-1.047396898,-0.934785366
Canada,2016,7.244845867,10.67448139,0.924392521,73.19999695,0.912423909,0.203222767,0.385090441,0.824586391,0.237422869,0.618195295,1.351965904,1.837898731
Central African Republic,2016,2.693061113,6.465948105,0.29018417,44.90000153,0.624056518,0.053440392,0.859073043,0.578653812,0.49426806,0.748754561,-1.4378829,-1.575128436
Chad,2016,4.029350281,7.538164139,0.616204858,47.20000076,0.525222123,0.039116725,0.819788873,0.582458258,0.467566758,0.513021767,-1.329083443,-1.387387395
Chile,2016,6.579056263,10.02634144,0.841388166,69.69999695,0.652289748,0.09289977,0.858124971,0.869228899,0.283042103,0.203538865,0.704101682,1.164838195
China,2016,5.32495594,9.575044632,0.741703033,68.69999695,,-0.243756711,,0.826144397,0.145625159,,-1.030307174,-0.12411014
Colombia,2016,6.233715057,9.483036041,0.88190037,67.09999847,0.834966123,-0.105361171,0.897553861,0.793531477,0.294222772,0.261251181,-0.380847514,-0.044849738
Comoros,2016,Undefined,
Cuba,2016,Undefined,,,
Republic of the Congo,2016,4.119493484,8.566148758,0.615449011,56.70000076,0.785906553,-0.107046716,0.790385723,0.610304952,0.303666711,0.483075261,-0.8384161,-1.135441065
Democratic Republic of the Congo,2016,4.521935463,6.69092226,0.864154518,52.5,0.637366712,-0.007709844,0.874999642,0.6462695,0.222411484,0.281824946,-1.812538028,-1.447642207
Costa Rica,2016,7.135617733,9.628722191,0.900701284,70.90000153,0.872971952,-0.029768212,0.780562043,0.87358439,0.281422287,0.279027581,0.889451802,0.492926776
Croatia,2016,5.416875362,9.98966217,0.798332155,69,0.671970546,-0.06632413,0.884059787,0.613685668,0.336541265,0.30339098,0.594130158,0.367198348
Cyprus,2016,5.794618607,10.35237598,0.786438465,73.30000305,0.756220996,-0.033245489,0.897639513,0.742049396,0.336344689,0.333909512,0.825391352,0.890463829
Czech Republic,2016,6.735627174,10.3526144,0.930592895,69.30000305,0.850328267,-0.199620038,0.900430739,0.755701959,0.201041639,0.415120721,1.000417948,0.903230727
Denmark,2016,7.55778265,10.73620605,0.954451501,71.80000305,0.948230565,0.134531945,0.209893376,0.836115718,0.207583427,0.467660695,1.204600453,1.898684382
Djibouti,2016,Undefined,,,,,,,,,,,
Dominican Republic,2016,5.238698483,9.555362701,0.894753456,65.19999695,0.872712433,-0.081975199,0.737182975,0.759945571,0.278095126,0.549424827,0.216356426,-0.366028935
Ecuador,2016,6.115437508,9.251891136,0.842352092,67.90000153,0.846336305,-0.018464431,0.774084151,0.846354008,0.365246594,0.474427789,-0.166911185,-0.722234428
Egypt,2016,4.556740761,9.242236137,0.809218585,61.09999847,0.655845225,-0.148785099,0.817527413,0.611369669,0.37049821,0.619130909,-1.320153356,-0.682029903
El Salvador,2016,6.139824867,8.876843452,0.793659985,65.5,0.799847007,-0.183699355,0.797312021,0.761255682,0.345736474,0.251704782,0.044363294,-0.35615024
Estonia,2016,5.649675369,10.24387455,0.937715113,68.19999695,0.842770696,-0.153377563,0.639085293,0.72625488,0.176869258,0.339834303,0.94091773,1.323766232
Ethiopia,2016,4.297848701,7.382928848,0.718718708,57.5,0.744307697,0.04536299,0.702880859,0.727070868,0.253940523,0.748945594,-1.511707664,-0.662681222
Finland,2016,7.659843445,10.58807755,0.953940451,71.69999695,0.948372185,-0.030627485,0.249659568,0.797325075,0.181998447,0.485727251,1.265372396,1.975339055
France,2016,6.475208759,10.54698849,0.884922922,73.40000153,0.786780477,-0.095642865,0.622697055,0.772661328,0.27003625,0.283978164,0.520080805,1.3222754
Gabon,2016,4.831764221,9.726552963,0.780048966,58.70000076,0.698942363,-0.222279608,0.816563547,0.640116572,0.432404667,0.378069758,-0.537229657,-0.736889839
Gambia,2016,Undefined,,
Georgia,2016,4.448386192,9.135268211,0.533412278,64.90000153,0.606468379,-0.235489741,0.560924053,0.563896,0.223224476,0.344541132,-0.00979048,0.646152794
Germany,2016,6.873763084,10.70171165,0.906029284,71.59999847,0.870515049,0.144377634,0.445922136,0.737745941,0.187254936,0.552613556,1.022540092,1.754329681
Ghana,2016,4.514411449,8.289732933,0.647303164,56.40000153,0.75116837,0.094167918,0.893955231,0.668263912,0.304909706,0.516604602,0.228535503,-0.135154873
Greece,2016,5.302619457,10.09459305,0.802605867,72,0.481616855,-0.26143381,0.898470819,0.700504363,0.336207509,0.132486552,0.273431748,0.097654387
Guatemala,2016,6.358916283,8.904984474,0.811235487,64.19999695,0.862675726,0.009652504,0.812030017,0.846122503,0.321357191,0.468962193,-0.417235553,-0.642048836
Guinea,2016,3.602854729,7.54667902,0.675447047,52.20000076,0.725685179,-0.049161837,0.802781165,0.686984658,0.374393791,0.465695828,-0.577897191,-1.00050652
Guyana,2016,Undefined,,,,,,,,,,,
Haiti,2016,3.352300167,7.411055088,0.58374244,55.29999924,0.303540409,0.291111082,0.838523149,0.552774072,0.367341012,0.146064624,-0.751602054,-1.408732533
Honduras,2016,5.648154736,8.390897751,0.773909986,66.80000305,0.850046694,0.086563937,0.792875171,0.832396746,0.296846688,0.389274508,-0.436497092,-0.754631639
Hong Kong S.A.R. of China,2016,5.498420715,10.90435696,0.83207792,75.95350647,0.799743414,0.089243069,0.40281257,0.664092779,0.213114589,0.449610382,0.563998461,1.820220232
Hungary,2016,5.448901653,10.15285015,0.899511576,66.80000305,0.55395174,-0.19341144,0.924185812,0.66591078,0.24332577,0.30377233,0.527955234,0.394931078
Iceland,2016,7.510034561,10.7283411,0.984940052,73,0.951609552,0.278244555,0.719299555,0.873887897,0.158169165,0.363518298,1.358806014,1.532976985
India,2016,4.179177284,8.715342522,0.613529384,59.29999924,0.820068777,0.033954486,0.764722109,0.69450444,0.345681459,0.732104599,-0.256837368,-0.13516134
Indonesia,2016,5.136325359,9.284182549,0.791830599,61.70000076,0.82994163,0.487541914,0.889677405,0.832811952,0.341573596,0.80088073,-0.103141956,-0.214709952
Iran,2016,4.652730942,9.825400352,0.566281199,65.40000153,0.773303747,0.154438794,0.712782621,0.686764956,0.52587682,0.709471166,-1.078046441,-0.701219976
Iraq,2016,4.412537098,9.695360184,0.718956709,59,0.666160166,-0.088390231,0.798866451,0.488692015,0.569758058,0.418604314,-1.665165424,-1.351849914
Ireland,2016,7.04073143,11.05449009,0.958144009,72.09999847,0.874589145,0.168430954,0.398544312,0.809203029,0.211063311,0.574739754,1.069366932,1.543370843
Israel,2016,7.159010887,10.39477539,0.889660776,72.90000153,0.772297323,0.15050979,0.804056585,0.629189372,0.263090223,0.43813318,-0.003985524,1.229350686
Italy,2016,5.95452404,10.45320511,0.927212834,73.19999695,0.623741627,-0.082749397,0.902801216,0.685422838,0.339173585,0.23759909,0.701679826,0.414806724
Ivory Coast,2016,4.542545795,8.138846397,0.617400765,48.29999924,0.768789351,-0.028539145,0.757453382,0.70361656,0.378029406,0.714816749,-0.601345599,-0.548912168
Jamaica,2016,Undefined,,,,,,,,,,,
Japan,2016,5.954650879,10.55274868,0.899773836,74.80000305,0.836064637,-0.073620148,0.697639346,0.76010859,0.192402646,0.362200648,0.985401094,1.549104095
Jordan,2016,5.27128458,9.034749031,0.819944739,66.40000153,0.771350622,-0.036488943,,0.640657842,0.311913371,,-0.602687955,0.190379545
Kazakhstan,2016,5.533551693,10.06249809,0.927810669,63.40000153,0.782805562,-0.046834081,0.702016652,0.702479124,0.15541473,0.759726167,-0.599521577,-0.353907615
Kenya,2016,4.396127701,7.981573582,0.70592159,58.90000153,0.748508275,0.313143224,0.828411579,0.742762327,0.225647658,0.577654064,-0.735161185,-0.486509323
Kosovo,2016,5.759412289,9.153971672,0.82380271,64.60875702,0.827398598,0.119905442,0.940897942,0.703886986,0.14960672,0.313764572,-0.215611726,-0.345983177
Kuwait,2016,5.947194576,11.13985634,0.845222056,66.30000305,0.840967178,-0.107972071,,0.688287258,0.314922988,,-0.339310467,-0.117003053
Kyrgyzstan,2016,4.856534004,8.104660988,0.914375484,63.5,0.813939214,0.077373318,0.916922808,0.778171241,0.126099676,0.527570188,-0.533572495,-0.838241994
Laos,2016,Undefined,,,
Latvia,2016,5.940446377,10.07505417,0.917073965,66.19999695,0.685299277,-0.159757495,0.867639601,0.653751254,0.231383532,0.315261304,0.660759449,0.869053841
Lebanon,2016,5.27072382,9.493102074,0.827885926,66.09999847,0.657357454,0.03390317,0.853114486,0.552651107,0.263445616,0.137951434,-1.069690228,-0.669857502
Lesotho,2016,3.808204889,7.914381981,0.798059285,46.59999847,0.729489863,-0.10248249,0.742873371,0.732465565,0.27028349,0.609269023,-0.100437164,-0.344547719
Liberia,2016,3.354676008,6.624804974,0.642614603,54.5,0.763476014,0.080516092,0.901267469,0.635527551,0.509046674,0.544246912,-0.269059271,-0.987678349
Libya,2016,5.43358326,9.56790638,0.87606585,62.29999924,0.822384834,-0.122419432,,0.71778506,0.383073747,,-1.856518984,-1.902074218
Lithuania,2016,5.865552425,10.24116898,0.937873363,66.09999847,0.614239335,-0.270516902,0.949392676,0.594167292,0.249855742,0.279638559,0.914101243,0.990459979
Luxembourg,2016,6.967340946,11.46080017,0.941260576,72.59999847,0.882365346,0.014104202,0.356336325,0.757949769,0.192300707,0.678977847,1.45981288,1.817982912
Macedonia,2016,5.34574604,9.481959343,0.871212244,67.09999847,0.706179321,0.079841897,0.869719028,0.638737202,0.292294681,0.256954134,-0.293647051,-0.005984414
Madagascar,2016,3.663085938,7.241845608,0.746496975,58.29999924,0.569645405,-0.065171458,0.864171147,0.813191354,0.204255417,0.490199178,-0.300410032,-0.896322906
Malawi,2016,3.476492643,6.988229752,0.524299622,56.20000076,0.809884131,0.058278691,0.823615015,0.603104591,0.32473892,0.552534401,-0.072647721,-0.676235676
Malaysia,2016,Undefined,,
Mali,2016,4.016027927,7.586338997,0.836254537,50.70000076,0.696007371,-0.067516871,0.862326682,0.806901336,0.305299431,0.524199367,-0.902928174,-0.756188989
Malta,2016,6.590842247,10.46477127,0.930369377,72.19999695,0.916023612,0.340700656,0.696494639,0.687271595,0.355443776,0.618818283,1.13834691,0.95797044
Mauritania,2016,4.472149372,8.180959702,0.784826875,56.40000153,0.466561466,-0.157454357,0.841835141,0.734556079,0.221666142,0.208929226,-0.761087239,-0.743252635
Mauritius,2016,5.610003471,9.881625175,0.836032152,65.80000305,0.819175661,0.130789235,0.890661359,0.784898281,0.245711893,0.565379262,0.91341877,0.739031553
Mexico,2016,6.824172974,9.753050804,0.893492579,67.69999695,0.751613081,-0.155870572,0.808579445,0.859106421,0.219571486,0.277944058,-0.349140942,-0.213363826
Moldova,2016,5.577784061,8.509845734,0.83732146,63.59999847,0.557369471,0.000704906,0.969482958,0.621101141,0.274551123,0.084061243,-0.162387952,-0.542850018
Mongolia,2016,5.056999683,9.337942123,0.947489381,61.90000153,0.759740949,0.076226927,0.900452137,0.694095433,0.171171755,0.349382877,0.564851582,-0.219924271
Montenegro,2016,5.304066181,9.663771629,0.865743697,68.09999847,0.568633676,-0.08676701,0.848966599,0.59142518,0.336675465,0.325959235,0.176307648,0.057621792
Morocco,2016,5.38630724,8.893697739,0.655409336,65.30000305,0.816556096,-0.248685971,0.717356145,0.712659359,0.205413148,,-0.469432235,-0.156823486
Mozambique,2016,Undefined,,
Myanmar,2016,4.623119831,8.576414108,0.793461978,58.40000153,0.877491176,0.658932626,0.607286572,0.804009914,0.301501393,0.924319088,-0.801185012,-0.838138282
Namibia,2016,Undefined,,
Nepal,2016,5.099539757,7.739643097,0.837043643,61.29999924,0.839488447,0.179104611,0.81711489,0.627351165,0.369661748,0.490016222,-0.549837351,-0.79548192
Netherlands,2016,7.540877342,10.76362324,0.925944209,72.09999847,0.907310009,0.233066663,0.43330425,0.838432372,0.214850739,0.572273314,1.226236224,1.904383183
New Zealand,2016,7.225687981,10.48504829,0.93660289,72.80000305,0.926576018,0.261130214,0.278270781,0.832944691,0.207413629,0.569690168,1.525762916,2.029997349
Nicaragua,2016,6.012739658,8.542974472,0.852702439,66.90000153,0.716534257,0.039933853,0.731464922,0.805123985,0.380347282,0.586549759,-0.385151982,-0.680122375
Niger,2016,4.234645844,6.821260452,0.682828248,52.5,0.701927304,-0.002667263,0.814493895,0.674858928,0.325441957,0.572467506,-0.76696682,-0.643432915
Nigeria,2016,5.219567776,8.60056591,0.804766953,48.90000153,0.797690511,0.032547228,0.904706836,0.731986105,0.2518363,0.414326072,-1.09586072,-1.015222311
North Cyprus,2016,5.827127934,,0.807690263,,0.796233833,,0.670191407,0.64366436,0.346465379,0.440594882,,
Norway,2016,7.596331596,11.06912804,0.959742844,73,0.954352319,0.114254743,0.409666121,0.849625945,0.209262192,0.657646239,1.432126164,1.950139046
Pakistan,2016,5.548508167,8.488210678,0.626921296,57.70000076,0.634182811,0.079928152,0.79253006,0.647639751,0.33161667,0.455683172,-1.592067957,-0.740050793
Palestinian Territories,2016,4.906618118,8.46180439,0.817770958,,0.607669413,-0.13444747,0.812464654,0.592769146,0.377641797,0.463771552,-1.535614252,-0.265881002
Panama,2016,6.117638111,9.974536896,0.882460237,69.40000153,0.884479761,-0.092973053,0.836976767,0.857623577,0.244131789,0.329894483,0.467671543,0.021757655
Paraguay,2016,5.801380157,9.090585709,0.93986696,65.30000305,0.853534281,-0.05853869,0.756116271,0.924560964,0.197176188,0.284559757,0.03972324,-0.630455732
Peru,2016,5.700628757,9.399485588,0.802856445,67.5,0.829843879,-0.14319998,0.86591959,0.821674764,0.338006854,0.281923383,0.032944828,-0.12947841
Philippines,2016,5.430832863,8.886437416,0.821298718,61.70000076,0.907595754,-0.076165579,0.791962206,0.820969462,0.290232718,0.771626711,-0.608859897,-0.217781767
Poland,2016,6.162076473,10.16722965,0.91739881,68.5,0.870707512,-0.097280823,0.847753942,0.77662462,0.223536044,0.382713199,0.675346136,0.756335139
Portugal,2016,5.446637154,10.20817947,0.90463537,72,0.83806932,-0.22725527,0.922192395,0.683566213,0.326252729,0.354542404,1.065478444,1.019317985
Qatar,2016,Undefined,,,,,,,,,,,
Romania,2016,5.96887064,9.983716965,0.809229195,66.59999847,0.8217206,-0.117233559,0.949044526,0.694415331,0.257763505,0.181354657,0.4084723,0.189858884
Russia,2016,5.85494566,10.10301971,0.910927355,63.5,0.713606298,-0.191147804,0.925462723,0.636298656,0.142497227,0.584303796,-1.040055513,-0.557306468
Rwanda,2016,3.332989931,7.490113258,0.665130913,59.90000153,0.910736382,0.02614033,0.158601388,0.752310693,0.285384238,0.993604362,-0.605929792,0.2365015
Saudi Arabia,2016,6.473921299,10.8282032,0.889932334,65.69999695,0.774267733,-0.150336474,,0.792998552,0.266292661,,-1.096985221,0.224808708
Senegal,2016,4.59453392,7.774625301,0.838994384,58.79999924,0.743729651,-0.073456421,0.794353724,0.783817947,0.244851768,0.630876184,0.073607929,-0.179108188
Republic of Serbia,2016,5.752754688,9.526675224,0.894894958,67.40000153,0.614370823,-0.06780187,0.889765203,0.534827054,0.298126608,0.450123101,0.169595033,-0.084527604
Sierra Leone,2016,4.732953072,7.218076706,0.656723499,47.59999847,0.681202114,0.113659732,0.863264859,0.583939135,0.456180692,0.70091027,-0.17729196,-0.928681612
Singapore,2016,6.033480644,11.3220253,0.925128222,76.19999695,0.903735638,0.132903278,0.047311153,0.823988736,0.110942468,0.930617273,0.672654569,2.071428776
Slovakia,2016,5.993163109,10.28234768,0.945179105,68.30000305,0.700098515,-0.072382629,0.916609168,0.774416089,0.232091576,0.372222155,0.84094882,0.666357517
Slovenia,2016,5.936821461,10.30661774,0.934487343,70.5,0.903551102,-0.057398662,0.838474393,0.626205564,0.271624178,0.249845102,1.000279665,0.918403268
Somalia,2016,4.667941093,,0.594416559,50,0.917322814,,0.44080174,0.891423166,0.193282232,0.700681686,-2.134840965,-2.125517845
Somaliland,2016,Undefined,,,,,,,,,,,
South Africa,2016,4.769739628,9.416272163,0.875389755,55.70000076,0.774136424,-0.078887247,0.812858999,0.785723627,0.301327765,0.483122289,0.2543208,0.181721061
South Korea,2016,5.970564365,10.46368599,0.811163485,73,0.590956032,0.021303769,0.861816347,0.676223397,0.232732683,0.237081572,0.402079344,0.95147717
South Sudan,2016,2.888112307,7.35875988,0.532151818,50.59999847,0.439919025,0.021647073,0.785317779,0.614770651,0.549256921,0.456287563,-2.106766701,-1.963013411
Spain,2016,6.318612099,10.41392422,0.941736817,73.80000305,0.768173754,-0.051830858,0.818558574,0.652816117,0.300829351,0.302516669,0.727092505,0.904802382
Sri Lanka,2016,Undefined,,
Sudan,2016,Undefined,,,,,,,,,,,
Suriname,2016,Undefined,,,,,,,,,,,
Swaziland,2016,Undefined,,
Sweden,2016,7.368744373,10.74867249,0.912060678,72.40000153,0.918036401,0.138581902,0.246182442,0.815695107,0.200606912,0.485791326,1.290886164,1.959754944
Switzerland,2016,7.458519936,10.95817471,0.927628279,73.5,0.933947086,0.083161391,0.301562965,0.779470801,0.206316724,0.798536718,1.419003606,1.964175105
Syria,2016,Undefined,,,,,,,,,,,
Taiwan Province of China,2016,6.512850761,,0.894989252,,0.718925178,,0.810521007,0.83315289,0.108305417,0.404713333,0.967452168,1.169113874
Tajikistan,2016,5.103721142,7.923922062,0.856656969,63.5,0.703026891,0.007712937,0.631887853,0.644484639,0.219799668,0.844887733,-1.234725356,-1.105002046
